brand,kilometers,model,transmission,year
Audi,76000.0,A4,Mecánica,2012.0
Renault,110000.0,Twingo,Mecánica,2012.0
Chevrolet,60000.0,AVEO EMOTION,Mecánica,2012.0
Renault,140000.0,Koleos,Automática,2012.0
Volkswagen,50000.0,Jetta,Automática,2012.0
Chery,160000.0,Tiggo,Mecánica,2012.0
Hyundai,100000.0,Accent,Mecánica,2012.0
Renault,92000.0,Logan,Mecánica,2012.0
Chevrolet,163200.0,Spark,Mecánica,2012.0
Renault,98000.0,Fluence,Mecánica,2012.0
Chevrolet,84000.0,Aveo,Mecánica,2012.0
Hyundai,161366.0,Porter,Mecánica,2012.0
Audi,68000.0,A3,Mecánica,2012.0
Chevrolet,85112.0,Captiva,Automática,2012.0
Nissan,90000.0,Frontier,Mecánica,2012.0
Renault,89000.0,Koleos,Automática,2012.0
Renault,148000.0,Logan,Mecánica,2012.0
BMW,87409.0,X1,Automática,2012.0
Chevrolet,91664.0,Cruze,Automática,2012.0
Kia,133800.0,Pregio,Mecánica,2012.0
Mazda,98000.0,3,Mecánica,2012.0
Kia,76428.0,Picanto,Mecánica,2012.0
Jeep,97583.0,Compass,Mecánica,2012.0
Dodge,76773.0,Journey,Mecánica,2012.0
Volvo,81228.0,S40,Automática,2012.0
Land Rover,102000.0,Evoque,Automática,2012.0
Chevrolet,99856.0,Spark,Mecánica,2012.0
Toyota,126000.0,Prado,Automática,2012.0
Volkswagen,98000.0,Gol,Mecánica,2012.0
Chevrolet,83000.0,Captiva,Mecánica,2012.0
Chevrolet,115000.0,Spark GT,Mecánica,2012.0
Audi,70000.0,A4 1.8T,Automática,2012.0
Hyundai,86000.0,Accent,Mecánica,2012.0
Mazda,110000.0,BT-50,Mecánica,2012.0
Chevrolet,72113.0,Cruze,Automática,2012.0
BMW,71000.0,X1,Automática,2012.0
Hyundai,118473.0,i10,Mecánica,2012.0
Volkswagen,54000.0,Jetta,Automática,2018.0
Subaru,63000.0,XV,Automática,2018.0
Kia,5000.0,2018,Mecánica,2018.0
Kia,44300.0,Rio,Mecánica,2018.0
Hyundai,239.0,i10,Mecánica,2018.0
Chevrolet,166000.0,Sail 2018 ls,Mecánica,2018.0
Renault,1.0,Sandero,Automática,2018.0
Renault,67000.0,Logan,Automática,2018.0
Renault,72000.0,Logan,Automática,2018.0
Renault,56000.0,Captur,Automática,2018.0
Mazda,52000.0,3,Automática,2018.0
Renault,200000.0,Logan,Automática,2018.0
Chevrolet,46047.0,2019,Mecánica,2018.0
Renault,17000.0,Logan,Automática,2018.0
Chevrolet,26000.0,Spark GT,Mecánica,2018.0
Kia,45000.0,Rio,Mecánica,2018.0
Jeep,30000.0,Wrangler,Automática,2018.0
Volkswagen,39500.0,Tiguan,Automática,2018.0
Audi,25000.0,Q2,Automática,2018.0
Renault,60000.0,Captur,Automática,2018.0
Mazda,45000.0,3,Automática,2018.0
Iveco,7200.0,Daily,Mecánica,2018.0
Land Rover,29000.0,Range Rover Velar,Automática,2018.0
Kia,38600.0,Picanto,Mecánica,2018.0
Renault,70000.0,Captur,Mecánica,2018.0
DFM/DFSK,125000.0,K07S,Mecánica,2018.0
Volkswagen,38000.0,Voyage,Automática,2018.0
Renault,17000.0,Logan,Mecánica,2018.0
Suzuki,30286.0,Swift,Mecánica,2018.0
Renault,80500.0,Logan,Automática,2018.0
Mercedes-Benz,32000.0,Clase SLC,Automática,2018.0
Kia,28000.0,Rio,Mecánica,2018.0
Toyota,65000.0,Prado,Automática,2018.0
Cadillac,33000.0,Escalade,Automática,2018.0
Chevrolet,48260.0,Onix,Automática,2018.0
Mazda,53000.0,3,Automática,2018.0
Chevrolet,52.0,Tracker 2018,Mecánica,2018.0
Ford,26000.0,Fiesta,Automática,2018.0
Renault,69000.0,Sandero,Automática,2018.0
Mazda,50000.0,2,Mecánica,2018.0
Renault,33400.0,Duster Oroch,Automática,2018.0
Ford,49000.0,Explorer,Automática,2018.0
Ford,44000.0,Edge,Automática,2018.0
Nissan,80000.0,March,Automática,2018.0
Mazda,42000.0,3,Automática,2018.0
Kia,100448.0,Picanto,Mecánica,2012.0
Renault,127000.0,Logan,Mecánica,2012.0
Toyota,102000.0,Hilux,Mecánica,2012.0
Chevrolet,104700.0,Spark GT,Mecánica,2012.0
Chevrolet,91074.0,Captiva,Automática,2012.0
Hyundai,90600.0,TUCSON IX-35,Mecánica,2012.0
Chevrolet,112586.0,Captiva,Mecánica,2012.0
Toyota,160000.0,Hilux,Mecánica,2012.0
Volkswagen,59900.0,Gol,Mecánica,2012.0
Renault,98000.0,Symbol,Mecánica,2012.0
Audi,67000.0,A5,Automática,2012.0
Chevrolet,90556.21355944383,Prado,Mecánica,2012.612294758021
Volkswagen,89000.0,Tiguan,Mecánica,2012.0
Renault,117580.0,Logan,Mecánica,2012.0
Mazda,66000.0,2,Mecánica,2012.0
Chevrolet,76000.0,Captiva,Mecánica,2012.0
Toyota,157000.0,Prado,Mecánica,2012.0
Audi,82000.0,Q5,Automática,2012.0
Chevrolet,92264.0,Cruze,Automática,2012.0
Ford,113000.0,Fiesta,Automática,2012.0
Toyota,87000.0,Fortuner,Automática,2012.0
Renault,103000.0,Stepway,Mecánica,2012.0
Renault,45000.0,Twingo,Mecánica,2012.0
Renault,40000.0,Twingo,Mecánica,2012.0
Renault,89000.0,Stepway,Mecánica,2012.0
Jeep,106000.0,Compass,Mecánica,2012.0
Toyota,134000.0,Hilux,Mecánica,2012.0
Toyota,182000.0,Hilux,Mecánica,2012.0
Renault,42000.0,Twingo,Mecánica,2012.0
Mazda,116000.0,BT-50,Mecánica,2012.0
Ford,99000.0,Fiesta,Mecánica,2012.0
Chevrolet,94000.0,Aveo,Mecánica,2012.0
Chevrolet,126000.0,Aveo,Mecánica,2012.0
Chevrolet,135000.0,Traverse,Automática,2012.0
Renault,99000.0,Stepway,Mecánica,2012.0
Chevrolet,87688.0,Cruze,Mecánica,2012.0
Chevrolet,139000.0,Captiva,Automática,2012.0
Renault,39000.0,Twingo,Mecánica,2012.0
Renault,38000.0,Twingo,Mecánica,2012.0
Renault,131000.0,Logan,Mecánica,2012.0
Volkswagen,107000.0,Jetta,Automática,2012.0
Nissan,169000.0,Frontier,Mecánica,2012.0
Toyota,150000.0,Hilux,Mecánica,2012.0
Mercedes-Benz,70000.0,Clase C,Automática,2012.0
Renault,38000.0,Twingo,Mecánica,2012.0
Mazda,33729.0,2,Automática,2012.0
Renault,31000.0,Sandero,Mecánica,2018.0
Mercedes-Benz,76397.0,Clase GLK,Automática,2012.0
Ford,42000.0,Fiesta,Automática,2018.0
Chevrolet,30000.0,Tracker,Mecánica,2018.0
Renault,72000.0,Logan,Automática,2018.0
Kia,58016.0,Rio,Mecánica,2018.0
Ford,30000.0,Fiesta,Automática,2018.0
Volkswagen,57000.0,Voyage,Mecánica,2018.0
Chevrolet,23000.0,Spark GT,Automática,2018.0
